1	228	213
2	159	196
3	297	137
4	335	195
5	269	300
6	322	337
7	176	247
8	163	166
9	204	239
10	162	109
11	211	168
12	140	122
13	302	149
14	186	368
15	167	161
16	252	217
17	108	130
18	178	132
19	186	373
20	178	223
21	143	167
22	307	228
23	220	128
24	132	291
25	321	271
26	208	112
27	139	133
28	451	338
29	258	122
30	111	118
31	108	235
32	190	122
33	440	122
34	141	119
35	194	115
36	427	186
37	217	268
38	285	155
39	311	127
40	158	160
41	184	116
42	195	135
43	190	226
44	112	136
45	281	168
46	368	118
47	272	258
48	189	162
49	114	231
50	141	181
51	232	129
52	146	108
53	268	138
54	473	231
55	191	241
56	143	247
57	185	165
58	223	124
59	265	171
60	323	233
61	181	136
62	167	222
63	229	143
64	351	128
65	250	285
66	105	122
67	157	219
68	133	248
69	356	123
70	285	130
71	267	174
72	420	148
73	287	123
74	284	218
75	249	144
76	182	127
77	321	235
78	137	137
79	278	108
80	217	129
81	116	221
82	383	225
83	262	251
84	173	127
85	191	112
86	148	179
87	259	147
88	148	264
89	265	230
90	154	237
91	238	253
92	202	135
93	265	267
94	199	133
95	524	223
96	145	292
97	124	118
98	199	117
99	399	134
100	111	447
