1, 0
2, 2
3, 4
4, 4.7
5, 10.7
6, 34.9
7, 137.2
8, 785.6
9, 4130.5
10, 23935.3
11, 263288.3
12, 3159459.5999999996
13, 41072974.8
14, 575021647.1999999
15, 8625324707.999998
16, 138005195327.99997
17, 2346088320575.9995
18, 42229589770367.99
19, 802362205636991.9
20, 1.6047244112739838e+16
21, 3.369921263675366e+17
22, 7.413826780085805e+18
23, 1.705180159419735e+20
24, 4.092432382607364e+21
25, 1.023108095651841e+23
26, 2.660081048694787e+24
27, 7.182218831475925e+25
28, 2.011021272813259e+27
29, 5.831961691158451e+28
30, 1.7495885073475352e+30
31, 5.423724372777359e+31
32, 1.735591799288755e+33
33, 5.727452937652891e+34
34, 1.947333998801983e+36
35, 6.8156689958069405e+37
36, 2.4536408384904985e+39
